epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.535,1.05604,2.57465,1.37773,0.00564,0.99275,0.44076,0.2735,0.70592,2.79535,1.13397,0.0001,0.0001,0.0001
2,424.468,0.88342,2.34784,1.37378,0.01307,0.97826,0.61101,0.43812,0.71501,2.62308,1.11892,0.000215644,0.000215644,0.000215644
3,636.48,0.92138,1.69012,1.35968,0.9073,0.14194,0.6651,0.46296,0.81363,2.50836,1.21533,0.000326536,0.000326536,0.000326536
